attendance,is_holiday,is_school_holiday,is_weekend,attendance_lag1,attendance_ma7
11219,0,0,0,12971.0,20086.714285714286
12744,0,0,0,11219.0,19871.285714285714
35017,0,0,0,12744.0,20057.428571428572
25212,0,0,1,35017.0,19931.571428571428
23342,0,0,1,25212.0,19342.285714285714
15819,0,0,0,23342.0,19474.85714285714
13643,0,0,0,15819.0,19570.85714285714
13091,0,0,0,13643.0,19838.285714285714
13269,0,0,0,13091.0,19913.285714285714
30297,0,0,0,13269.0,19239.0
23121,0,0,1,30297.0,18940.285714285714
23181,0,0,1,23121.0,18917.285714285714
13225,0,0,0,23181.0,18546.714285714286
12862,0,0,0,13225.0,18435.14285714286
12114,0,0,0,12862.0,18295.571428571428
12148,0,0,0,12114.0,18135.428571428572
13851,0,0,0,12148.0,15786.0
24288,0,0,1,13851.0,15952.714285714286
25025,0,0,1,24288.0,16216.142857142857
15324,0,0,0,25025.0,16516.0
14415,0,0,0,15324.0,16737.85714285714
14106,0,0,0,14415.0,17022.428571428572
13967,0,0,0,14106.0,17282.285714285714
13447,0,0,0,13967.0,17224.571428571428
18729,0,1,1,13447.0,16430.428571428572
23657,0,1,1,18729.0,16235.0
23858,0,1,0,23657.0,17454.14285714286
19611,0,1,0,23858.0,18196.428571428572
27076,1,1,0,19611.0,20049.285714285714
27000,1,1,0,27076.0,21911.14285714286
30380,0,1,0,27000.0,24330.14285714286
33499,0,1,1,30380.0,26440.14285714286
32446,0,1,1,33499.0,27695.714285714286
34008,0,1,0,32446.0,29145.714285714286
31516,0,1,0,34008.0,30846.428571428572
25499,1,1,0,31516.0,30621.14285714286
28816,0,1,0,25499.0,30880.571428571428
31048,0,1,0,28816.0,30976.0
31952,0,1,1,31048.0,30755.0
24298,0,1,1,31952.0,29591.0
16966,0,0,0,24298.0,27156.428571428572
14007,0,0,0,16966.0,24655.14285714286
13266,0,0,0,14007.0,22907.571428571428
11974,0,0,0,13266.0,20501.571428571428
11397,0,0,0,11974.0,17694.285714285714
30716,0,0,1,11397.0,17517.714285714286
27918,0,0,1,30716.0,18034.85714285714
18423,0,0,0,27918.0,18243.0
13274,0,0,0,18423.0,18138.285714285714
11723,0,0,0,13274.0,17917.85714285714
13341,0,0,0,11723.0,18113.14285714286
11642,0,0,0,13341.0,18148.14285714286
32336,0,0,1,11642.0,18379.571428571428
30339,0,0,1,32336.0,18725.428571428572
16178,0,0,0,30339.0,18404.714285714286
10875,0,0,0,16178.0,18062.0
10362,0,0,0,10875.0,17867.571428571428
9777,0,0,0,10362.0,17358.428571428572
14488,0,0,0,9777.0,17765.0
28835,0,0,1,14488.0,17264.85714285714
28170,0,0,1,28835.0,16955.0
16447,0,0,0,28170.0,16993.428571428572
12279,0,0,0,16447.0,17194.0
11649,0,0,0,12279.0,17377.85714285714
11635,0,0,0,11649.0,17643.285714285714
15489,0,0,0,11635.0,17786.285714285714
29971,0,0,1,15489.0,17948.571428571428
26955,0,0,1,29971.0,17775.0
20104,0,0,0,26955.0,18297.428571428572
15658,0,0,0,20104.0,18780.14285714286
14229,0,0,0,15658.0,19148.714285714286
15438,0,0,0,14229.0,19692.0
16691,0,0,0,15438.0,19863.714285714286
25369,0,1,1,16691.0,19206.285714285714
21939,0,1,1,25369.0,18489.714285714286
15949,0,1,0,21939.0,17896.14285714286
16122,0,1,0,15949.0,17962.428571428572
16881,0,1,0,16122.0,18341.285714285714
14534,0,1,0,16881.0,18212.14285714286
19972,0,1,0,14534.0,18680.85714285714
30850,0,1,1,19972.0,19463.85714285714
27858,0,1,1,30850.0,20309.428571428572
24891,0,0,0,27858.0,21586.85714285714
27834,0,0,0,24891.0,23260.0
26513,0,0,0,27834.0,24636.0
26917,0,0,0,26513.0,26405.0
29670,0,0,0,26917.0,27790.428571428572
34860,0,0,1,29670.0,28363.285714285714
31194,0,0,1,34860.0,28839.85714285714
31566,0,0,0,31194.0,29793.428571428572
28191,0,0,0,31566.0,29844.428571428572
25633,0,0,0,28191.0,29718.714285714286
26690,0,0,0,25633.0,29686.285714285714
25256,0,0,0,26690.0,29055.714285714286
31231,0,0,1,25256.0,28537.285714285714
22455,0,0,1,31231.0,27288.85714285714
18637,0,0,0,22455.0,25441.85714285714
18020,0,0,0,18637.0,23988.85714285714
